BEL,2021: ROCE differs from source by >5%; category=version difference; computed=3091.666666666667; source=34.6
BEL,2021: ROE differs from source by >5%; category=data source issue; computed=3559.322033898305; source=26.3
BEL,2022: ROCE differs from source by >5%; category=version difference; computed=2815.748031496063; source=34.6
BEL,2022: ROE differs from source by >5%; category=data source issue; computed=3478.260869565217; source=26.3
BEL,2023: ROCE differs from source by >5%; category=version difference; computed=3834.2105263157896; source=34.6
BEL,2023: ROE differs from source by >5%; category=data source issue; computed=3981.333333333333; source=26.3
BEL,2024: ROCE differs from source by >5%; category=version difference; computed=3385.207100591716; source=34.6
BEL,2024: ROE differs from source by >5%; category=data source issue; computed=4379.120879120879; source=26.3
BHARTIARTL,2013: ROCE differs from source by >5%; category=version difference; computed=20.60431580925695; source=13.1
BHARTIARTL,2013: ROE differs from source by >5%; category=data source issue; computed=4.50498787806526; source=14.9
BHARTIARTL,2014: ROCE differs from source by >5%; category=version difference; computed=21.667944446082625; source=13.1
BHARTIARTL,2014: ROE differs from source by >5%; category=data source issue; computed=5.05221233014258; source=14.9
BHARTIARTL,2015: ROCE differs from source by >5%; category=version difference; computed=28.285115916617965; source=13.1
BHARTIARTL,2016: ROCE differs from source by >5%; category=version difference; computed=23.2008888039375; source=13.1
BHARTIARTL,2017: ROCE differs from source by >5%; category=version difference; computed=21.19831754842771; source=13.1
BHARTIARTL,2017: ROE differs from source by >5%; category=data source issue; computed=6.286967994426079; source=14.9
BHARTIARTL,2018: ROE differs from source by >5%; category=data source issue; computed=3.1408643129359315; source=14.9
BHARTIARTL,2019: ROE differs from source by >5%; category=data source issue; computed=2.3633843439788302; source=14.9
BHARTIARTL,2020: ROCE differs from source by >5%; category=version difference; computed=-0.5169208378998371; source=13.1
BHARTIARTL,2020: ROE differs from source by >5%; category=data source issue; computed=-39.748525503921186; source=14.9
BHARTIARTL,2021: ROCE differs from source by >5%; category=version difference; computed=18.519153234898845; source=13.1
BHARTIARTL,2021: ROE differs from source by >5%; category=data source issue; computed=-20.972639221074417; source=14.9
BHARTIARTL,2022: ROCE differs from source by >5%; category=version difference; computed=26.32581530021335; source=13.1
BHARTIARTL,2023: ROCE differs from source by >5%; category=version difference; computed=23.813257000556685; source=13.1
BHARTIARTL,2024: ROCE differs from source by >5%; category=version difference; computed=23.94582889530737; source=13.1
BHARTIARTL,2024: ROE differs from source by >5%; category=data source issue; computed=9.825713564031322; source=14.9
BHEL,2013: ROCE differs from source by >5%; category=version difference; computed=31.927692724155566; source=3.28
BHEL,2013: ROE differs from source by >5%; category=data source issue; computed=21.90906412648532; source=1.05
BHEL,2014: ROCE differs from source by >5%; category=version difference; computed=16.363828438622438; source=3.28
BHEL,2014: ROE differs from source by >5%; category=data source issue; computed=10.557414609146544; source=1.05
BHEL,2015: ROCE differs from source by >5%; category=version difference; computed=9.314051418439716; source=3.28
BHEL,2020: ROE differs from source by >5%; category=data source issue; computed=-5.12212142358688; source=1.05
BHEL,2021: ROCE differs from source by >5%; category=version difference; computed=-8.586021852977305; source=3.28
BHEL,2021: ROE differs from source by >5%; category=data source issue; computed=-10.391409767925182; source=1.05
BOSCHLTD,2012: ROCE differs from source by >5%; category=version difference; computed=29.622608995347232; source=20.6
BOSCHLTD,2015: ROCE differs from source by >5%; category=version difference; computed=33.76240278895146; source=20.6
BOSCHLTD,2016: ROCE differs from source by >5%; category=version difference; computed=26.09285341679708; source=20.6
BOSCHLTD,2017: ROCE differs from source by >5%; category=version difference; computed=32.67416751903626; source=20.6
BOSCHLTD,2019: ROCE differs from source by >5%; category=version difference; computed=30.174208392681056; source=20.6
BOSCHLTD,2020: ROCE differs from source by >5%; category=version difference; computed=14.747431506849315; source=20.6
BOSCHLTD,2020: ROE differs from source by >5%; category=data source issue; computed=7.011866235167206; source=16.0
BOSCHLTD,2021: ROCE differs from source by >5%; category=version difference; computed=9.33481826465526; source=20.6
BOSCHLTD,2021: ROE differs from source by >5%; category=data source issue; computed=4.9068512674335745; source=16.0
BOSCHLTD,2024: ROCE differs from source by >5%; category=version difference; computed=28.67100007831467; source=20.6
BPCL,2013: ROCE differs from source by >5%; category=version difference; computed=16.424337098453897; source=32.1
BPCL,2013: ROE differs from source by >5%; category=data source issue; computed=11.540983606557377; source=41.9
BPCL,2014: ROCE differs from source by >5%; category=version difference; computed=20.455582598113782; source=32.1
